Friendly Name,Change Count
thernandez,1
Home Assistant Supervisor Update,134
Home Assistant Core Update,134
Matter Server Update_minor_change,134
OpenThread Border Router Update_minor_change,134
Maison,2
Sun,4
Sun Prochaine aube,9
Sun Prochain crépuscule,8
Sun Prochain minuit,9
Sun Prochain midi,8
Sun Prochain lever,9
Sun Prochain coucher,8
HELTEC 1,6
iPhone de theophile Focus,9
iPhone de theophile,2
iPhone de theophile Distance,43
iPhone de theophile Activity,46
iPhone de theophile Floors Ascended,36
iPhone de theophile Floors Descended,36
iPhone de theophile Steps,43
iPhone de theophile Average Active Pace,36
iPhone de theophile Battery State,35
iPhone de theophile Battery Level,43
iPhone de theophile Storage,52
iPhone de theophile SSID,41
iPhone de theophile BSSID,41
iPhone de theophile Connection Type,39
iPhone de theophile SIM 1,27
iPhone de theophile SIM 2,35
iPhone de theophile Geocoded Location_minor_change,2
iPhone de theophile Last Update Trigger,51
Google en com,2
Liste d’achats,2
thernandez_minor_change,2
Sun_minor_change,224
iPhone de theophile Battery State_minor_change,6
iPhone de theophile Storage_minor_change,6
iPhone de theophile SIM 1_minor_change,16
HELTEC 1_minor_change,4
